Date,Province_State,Population,People_at_least_one_dose,People_fully_vaccinated
2020-12-14,NA,NA,0,0
2020-12-14,American Samoa,55641,0,0
2020-12-14,Guam,164229,0,0
2020-12-14,Long Term Care (LTC) Program,NA,0,0
2020-12-14,Northern Mariana Islands,55144,0,0
2020-12-14,Virgin Islands,107268,0,0
2020-12-15,NA,NA,0,0
2020-12-15,Alabama,4903185,0,0
2020-12-15,Alaska,731545,0,0
2020-12-15,American Samoa,55641,0,0
2020-12-15,Arizona,7278717,0,0
2020-12-15,Arkansas,3017804,0,0
2020-12-15,California,39512223,0,0
2020-12-15,Colorado,5758736,0,0
2020-12-15,Connecticut,3565287,0,0
2020-12-15,Delaware,973764,0,0
2020-12-15,Department of Defense,NA,0,0
2020-12-15,District of Columbia,705749,0,0
2020-12-15,Florida,21477737,0,0
2020-12-15,Georgia,10617423,0,0
2020-12-15,Guam,164229,0,0
2020-12-15,Hawaii,1415872,0,0
2020-12-15,Idaho,1787065,0,0
2020-12-15,Illinois,12671821,0,0
2020-12-15,Indian Health Services,NA,0,0
2020-12-15,Indiana,6732219,0,0
2020-12-15,Iowa,3155070,0,0
2020-12-15,Kansas,2913314,0,0
2020-12-15,Kentucky,4467673,0,0
2020-12-15,Long Term Care (LTC) Program,NA,0,0
2020-12-15,Louisiana,4648794,0,0
2020-12-15,Maine,1344212,0,0
2020-12-15,Maryland,6045680,0,0
2020-12-15,Massachusetts,6892503,0,0
2020-12-15,Michigan,9986857,0,0
2020-12-15,Minnesota,5639632,0,0
2020-12-15,Mississippi,2976149,0,0
2020-12-15,Missouri,6137428,0,0
2020-12-15,Montana,1068778,0,0
2020-12-15,Nebraska,1934408,0,0
2020-12-15,Nevada,3080156,0,0
2020-12-15,New Hampshire,1359711,0,0
2020-12-15,New Jersey,8882190,0,0
2020-12-15,New Mexico,2096829,0,0
2020-12-15,New York,19453561,0,0
2020-12-15,North Carolina,10488084,0,0
2020-12-15,North Dakota,762062,0,0
2020-12-15,Northern Mariana Islands,55144,0,0
2020-12-15,Ohio,11689100,0,0
2020-12-15,Oklahoma,3956971,0,0
2020-12-15,Oregon,4217737,0,0
2020-12-15,Pennsylvania,12801989,0,0
2020-12-15,Puerto Rico,3193694,0,0
2020-12-15,Rhode Island,1059361,0,0
2020-12-15,South Carolina,5148714,0,0
2020-12-15,South Dakota,884659,0,0
2020-12-15,Tennessee,6829174,0,0
2020-12-15,Texas,28995881,0,0
2020-12-15,Utah,3205958,0,0
2020-12-15,Vermont,623989,0,0
2020-12-15,Veterans Health Administration,NA,0,0
2020-12-15,Virgin Islands,107268,0,0
2020-12-15,Virginia,8535519,0,0
2020-12-15,Washington,7614893,0,0
2020-12-15,West Virginia,1792147,0,0
2020-12-15,Wisconsin,5822434,0,0
2020-12-15,Wyoming,578759,0,0
2020-12-16,NA,NA,0,0
2020-12-16,Alabama,4903185,0,0
2020-12-16,Alaska,731545,0,0
2020-12-16,American Samoa,55641,0,0
2020-12-16,Arizona,7278717,0,0
2020-12-16,Arkansas,3017804,0,0
2020-12-16,California,39512223,0,0
2020-12-16,Colorado,5758736,0,0
2020-12-16,Connecticut,3565287,0,0
2020-12-16,Delaware,973764,0,0
2020-12-16,Department of Defense,NA,0,0
2020-12-16,District of Columbia,705749,0,0
2020-12-16,Florida,21477737,0,0
2020-12-16,Georgia,10617423,0,0
2020-12-16,Guam,164229,0,0
2020-12-16,Hawaii,1415872,0,0
2020-12-16,Idaho,1787065,0,0
2020-12-16,Illinois,12671821,0,0
2020-12-16,Indian Health Services,NA,0,0
2020-12-16,Indiana,6732219,0,0
2020-12-16,Iowa,3155070,0,0
2020-12-16,Kansas,2913314,0,0
2020-12-16,Kentucky,4467673,0,0
2020-12-16,Long Term Care (LTC) Program,NA,0,0
2020-12-16,Louisiana,4648794,0,0
